rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
211,frame_0093.jpg,37.2,0.3481,0.4288,0.2857,0.24,5,2,False,False
212,frame_0324.jpg,129.6,0.348,0.4925,0.2857,0.08,6,2,False,False
213,frame_0206.jpg,82.4,0.3479,0.306,0.1429,0.76,6,1,False,False
214,frame_0087.jpg,34.8,0.3469,0.4161,0.1429,0.48,6,1,False,False
215,frame_0191.jpg,76.4,0.3442,0.453,0.2857,0.16,5,2,False,False
216,frame_0197.jpg,78.8,0.3418,0.4379,0.1429,0.4,2,1,False,False
217,frame_0121.jpg,48.4,0.3402,0.4564,0.0,0.56,4,0,False,False
218,frame_0332.jpg,132.8,0.3386,0.5755,0.1429,0.04,7,1,False,False
219,frame_0333.jpg,133.2,0.3372,0.5566,0.1429,0.08,7,1,False,False
220,frame_0220.jpg,88.0,0.3364,0.475,0.1429,0.28,4,1,False,False
221,frame_0178.jpg,71.2,0.3351,0.4347,0.2857,0.16,7,2,False,False
222,frame_0282.jpg,112.8,0.3329,0.388,0.1429,0.48,10,1,False,False
223,frame_0117.jpg,46.8,0.3322,0.4187,0.1429,0.4,6,1,False,False
224,frame_0110.jpg,44.0,0.3315,0.3579,0.4286,0.12,5,3,False,False
225,frame_0215.jpg,86.0,0.3302,0.3826,0.1429,0.48,5,1,False,False
226,frame_0173.jpg,69.2,0.3298,0.4298,0.1429,0.36,8,1,False,False
227,frame_0285.jpg,114.0,0.329,0.418,0.0,0.6,7,0,False,False
228,frame_0023.jpg,9.2,0.3227,0.2454,0.0,1.0,6,0,False,False
229,frame_0371.jpg,148.4,0.3132,0.5086,0.1429,0.08,11,1,False,False
230,frame_0398.jpg,159.2,0.313,0.3586,0.2857,0.24,8,2,False,False
231,frame_0225.jpg,90.0,0.3108,0.5039,0.1429,0.08,6,1,False,False
232,frame_0311.jpg,124.4,0.3097,0.5176,0.1429,0.04,7,1,False,False
233,frame_0123.jpg,49.2,0.3041,0.3521,0.0,0.64,6,0,False,False
234,frame_0376.jpg,150.4,0.3038,0.5436,0.0,0.16,8,0,False,False
235,frame_0214.jpg,85.6,0.3011,0.3942,0.0,0.52,4,0,False,False
236,frame_0393.jpg,157.2,0.2965,0.4056,0.2857,0.04,9,2,False,False
237,frame_0101.jpg,40.4,0.2956,0.3878,0.2857,0.08,5,2,False,False
238,frame_0024.jpg,9.6,0.2922,0.1844,0.0,1.0,3,0,False,False
239,frame_0281.jpg,112.4,0.2911,0.2347,0.2857,0.44,5,2,False,False
240,frame_0088.jpg,35.2,0.2878,0.3997,0.0,0.44,8,0,False,False
241,frame_0122.jpg,48.8,0.2878,0.3356,0.0,0.6,8,0,False,False
242,frame_0217.jpg,86.8,0.2858,0.3259,0.1429,0.4,4,1,False,False
243,frame_0273.jpg,109.2,0.2765,0.4192,0.1429,0.12,9,1,False,False
244,frame_0317.jpg,126.8,0.2743,0.4687,0.0,0.2,7,0,False,False
245,frame_0025.jpg,10.0,0.2726,0.1451,0.0,1.0,2,0,False,False
246,frame_0272.jpg,108.8,0.2699,0.5077,0.0,0.08,6,0,False,False
247,frame_0183.jpg,73.2,0.2641,0.4265,0.1429,0.04,7,1,False,False
248,frame_0100.jpg,40.0,0.2542,0.4066,0.1429,0.04,6,1,False,False
249,frame_0189.jpg,75.6,0.2468,0.3759,0.1429,0.08,4,1,False,False
250,frame_0092.jpg,36.8,0.246,0.2943,0.1429,0.28,4,1,False,False
251,frame_0216.jpg,86.4,0.2386,0.2155,0.1429,0.44,5,1,False,False
252,frame_0218.jpg,87.2,0.2269,0.3099,0.0,0.36,5,0,False,False
253,frame_0111.jpg,44.4,0.2148,0.2799,0.1429,0.16,5,1,False,False
254,frame_0313.jpg,125.2,0.1898,0.3636,0.0,0.04,4,0,False,False
255,frame_0112.jpg,44.8,0.1465,0.2129,0.0,0.2,4,0,False,False
256,frame_0224.jpg,89.6,0.119,0.19,0.0,0.12,7,0,False,False
